# Unseeded corpus words
# Each row is attested in the corpus and cannot reach an MDB gloss through the registered resolution paths.
# corpus_sentences: 210204
# corpus_tokens: 1776902
# equivalences_sha256: 5099aaae8ee6a40dc8a03b6502db3b757a49d79671258f0ed172fc2fed426665
# reviews_sha256: none
# scanned_unresolved_occurrences: 113715
# resolved_lexical_equivalence: 26
# resolved_conditioned_form: 190
# resolved_tagger_lemma: 1735
rank	form	occurrences	collection_count	dialect_count	region_count	surfaces	collections	dialects	dialect_paths	regions	tagger_lemmas	tagger_pos	review_disposition	suggested_parse	evidence	note	contexts
1	usike	288	12	9	1	"[""usike""]"	"[""AA研アイヌ語資料"",""アイヌタイムズ"",""アイヌ口承文芸テキスト集"",""アイヌ語・アイヌ文化研究の課題"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語ラジオ講座テキスト"",""アイヌ語訳新約聖書"",""ウポポイ館内展示"",""トピック別 アイヌ語会話辞典"",""千葉大学ユーラシア言語文化論集"",""千葉大学大学院人文公共学府研究プロジェクト報告書"",""平取町アイヌ口承文芸""]"	"[""北海道"",""千歳"",""幌別"",""沙流"",""沙流・千歳"",""浦河"",""白糠"",""釧路"",""静内""]"	"[""北海道"",""北海道/北東/浦河"",""北海道/北東/白糠"",""北海道/北東/釧路"",""北海道/北東/静内"",""北海道/南西/千歳"",""北海道/南西/幌別"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""usike"",""count"":288}]"	"[{""value"":""NOUN"",""count"":153},{""value"":""VERB"",""count"":15}]"	unreviewed				"[{""sentence_id"":""aa-irc/029#62"",""text"":""hike ka eun an usike kopaksama a... a=tuyare"",""translation"":""そこにいる所の近くに私は進んで行き"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 川上まつ子さん口演・欠ヶ端和也聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 19"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=29"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""ainu-times/054/3#4"",""text"":""Sineanta, kotan kor kur or wa Uracia a=nisúk wa tumino usike or un sonkoani etokus."",""translation"":""ある日、村長からウラチアは頼まれて戦場への伝言をする事になった。"",""collection"":""アイヌタイムズ"",""document"":""Kamuy kerihi"",""dialect"":""沙流・千歳"",""dialect_path"":""北海道/南西/千歳"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""bible/1co/007#34"",""text"":""Suy, hoku kor siwentep newa hoku sak siwentep uturu uwecutko no an usike an. Hoku sak siwentep anakne netopake kusu ne yakka ramat kusu ne yakka askanne kuni ne Utarpa kor pe kusu nisomap ruwe ne: korka, hoku kor kur anakne kor hoku nupetnere kuni ne tan mosir un pe kusu nisomap ruwe ne."",""translation"":""心が二つに分かれてしまいます。独身の女や未婚の女は、体も霊も聖なる者になろうとして、主のことに心を遣いますが、結婚している女は、どうすれば夫に喜ばれるかと、世の事に心を遣います。"",""collection"":""アイヌ語訳新約聖書"",""document"":""7"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""}]"
2	tumke	264	8	6	1	"[""tumke"",""túmke""]"	"[""アイヌタイムズ"",""アイヌ語アーカイブ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語弁論大会"",""アイヌ語訳新約聖書"",""ウポポイ職員インタビュー"",""トピック別 アイヌ語会話辞典"",""千葉大学ユーラシア言語文化論集""]"	"[""北海道"",""幌別方言"",""様似"",""沙流"",""沙流方言"",""静内""]"	"[""北海道"",""北海道/北東/様似"",""北海道/北東/静内"",""北海道/南西/幌別"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""tumke"",""count"":264}]"	"[{""value"":""NOUN"",""count"":19},{""value"":""ADV"",""count"":2},{""value"":""VERB"",""count"":1}]"	unreviewed				"[{""sentence_id"":""ainu-times/038/1#18"",""text"":""Kayano nispa anak ikiya senkyo or ta henne an=numke a korkay 2 pa okake ta \""kuriage-tôsen\"" ari an pe an wa, aynu tumke wa hoskino kokkai-giin ne ruwe ne."",""translation"":""萱野さんはその選挙で選ばれませんでしたが、二年後に「繰り上げ当選」というものがあって、アイヌの中から最初に国会議員になりました。"",""collection"":""アイヌタイムズ"",""document"":""Kayano Shigeru nispa an=oskur"",""dialect"":""様似"",""dialect_path"":""北海道/北東/様似"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""bible/1co/001#10"",""text"":""Irwak utar, eci utar opitta sine itak sanke, ayke, eci=tumke ta utumkus kewtum isam kuni ne, ci=kor Utarpa ne Yesu Kiristo kor rehe an kuskeraypo eci onisnisi as ruwe ne; korka, eci utar sine kewtum kor, ayke, sine esanniyop ki hine ukoyram no aeramusinnere kusu aki na."",""translation"":""さて、兄弟たち、わたしたちの主イエス・キリストの名によってあなたがたに勧告します。皆、勝手なことを言わず、仲たがいせず、心を一つにし思いを一つにして、固く結び合いなさい。"",""collection"":""アイヌ語訳新約聖書"",""document"":""1"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""chiba-eurasia/21/002#23"",""text"":""Aynu utar kor pu or_ ta okay amam tumke ta kinasut kamuy ek wa amam tumke ta ohonno an orowa kor kapuhu ante wa oyak ta oman ruwe ne."",""translation"":""ヘビの神はアイヌたちの倉にある穀物の間に来て、穀物のところに長い間いて（脱皮した）皮を 置いて他のところに行きます。"",""collection"":""千葉大学ユーラシア言語文化論集"",""document"":""第2話「ヘビの起源（Kinasutkamuy moto katu）」"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://opac.ll.chiba-u.jp/da/curator/108062/S21857148-21-P243-SAK.pdf"",""source_slug"":""anon-journal-chiba-university-eurasian-society""}]"
3	rittunna	252	3	2	1	"[""rittunna""]"	"[""アイヌ口承文芸テキスト集"",""アイヌ語アーカイブ"",""平取町アイヌ口承文芸""]"	"[""千歳"",""沙流""]"	"[""北海道/南西/千歳"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""rittunna"",""count"":252}]"	"[{""value"":""VERB"",""count"":242},{""value"":""NOUN"",""count"":9},{""value"":""DET"",""count"":1}]"	unreviewed				"[{""sentence_id"":""biratori/001/004#166"",""text"":""iruska wa apkas hi wano rittunna sekor ne"",""translation"":""（雷神が）腹を立ててからはリットゥンナって。"",""collection"":""平取町アイヌ口承文芸"",""document"":""カムイユカㇻ「フㇺ　パㇰパㇰ」雷の神が自叙する神謡"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?matCd=N001P&typeAudio=on"",""source_slug"":""biratori-ainu-oral-literature""},{""sentence_id"":""chiba-folklore/22#0"",""text"":""RITTUNNA ramma kane"",""translation"":""いつも"",""collection"":""アイヌ口承文芸テキスト集"",""document"":""白沢ナベ口述カムイユカㇻ「雷神の怒り（RITTUNNA / kanna kamuy）」"",""dialect"":""千歳"",""dialect_path"":""北海道/南西/千歳"",""region"":""北海道"",""uri"":""https://opac.ll.chiba-u.jp/da/curator/900122337/S21857148-25-P191-NAK.pdf"",""source_slug"":""ainu-oral-literature-texts""},{""sentence_id"":""nam-archive/shinyo/00#0"",""text"":""rittunna aynu kotan"",""translation"":""リットゥンナ（折り返し）人間の村を"",""collection"":""アイヌ語アーカイブ"",""document"":""「雷神が人間の村を訪れる」（リットゥンナ）"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E7%A5%9E%E8%AC%A1%28%EF%BD%B1%29%E3%80%8C%E9%9B%B7%E7%A5%9E%E3%81%8C%E4%BA%BA%E9%96%93%E3%81%AE%E6%9D%91%E3%82%92%E8%A8%AA%E3%82%8C%E3%82%8B%E3%80%8D%EF%BC%88%E3%83%AA%E3%83%83%E3%83%88%E3%82%A5%E3%83%B3%E3%83%8A%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
4	samake	230	17	10	2	"[""samake""]"	"[""AA研アイヌ語資料"",""アイヌタイムズ"",""アイヌ民譚集"",""アイヌ神謡集"",""アイヌ語アーカイブ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語ラジオ講座テキスト"",""アイヌ語教材テキスト"",""アイヌ語訳新約聖書"",""アイヌ語鵡川方言日本語‐アイヌ語辞典"",""トピック別 アイヌ語会話辞典"",""北方言語研究"",""北海道大学所在地の先住民族に対する敬意の表明"",""北海道立アイヌ民族文化研究センター紀要"",""千葉大学大学院人文公共学府研究プロジェクト報告書"",""知里幸恵のウウェペケレ（昔話）"",""鍋沢元蔵筆録ノート""]"	"[""北海道"",""十勝"",""幌別"",""様似"",""沙流"",""沙流・千歳"",""石狩"",""静内"",""鵜城"",""鵡川""]"	"[""北海道"",""北海道/北東/十勝"",""北海道/北東/様似"",""北海道/北東/石狩"",""北海道/北東/静内"",""北海道/南西/千歳"",""北海道/南西/幌別"",""北海道/南西/沙流"",""北海道/南西/鵡川"",""樺太/西海岸/鵜城""]"	"[""北海道"",""樺太""]"	"[{""value"":""samake"",""count"":230}]"	"[{""value"":""NOUN"",""count"":228}]"	unreviewed				"[{""sentence_id"":""aa-irc/026#170"",""text"":""a=kohawasi samake a=sonkokuste wa,"",""translation"":""文句を言われているところに伝言を送ったので、"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 織田ステノさん口演・阪口諒聞き起こし・訳注：uwepeker ウウェペケㇾ Otasut-un-katkemat オタスッウン カッケマッ"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=26"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""ainu-times/038/1#29"",""text"":""ipe=as okake ta, wenkur ku=ne wa icen ku=sak pene kusu, shiryôkan samake ta an mun cise or ta ku=rewsi rusuy hi ku=ye awa, Kayano nispa \""toani ta e=mokor yakun e=meekot nankor."",""translation"":""私たちが食事した後、私は貧乏人でお金がなかったので、資料館のそばにある草葺きの家に泊まりたいということを言うと、萱野さんは「あそこで寝たら寒くて死んでしまうだろう。"",""collection"":""アイヌタイムズ"",""document"":""Kayano Shigeru nispa an=oskur"",""dialect"":""様似"",""dialect_path"":""北海道/北東/様似"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""bible/1co/014#30"",""text"":""Korka ne samake ta a kur or ta aeramantep an ciki, hoskino an kur mo no an yak pirka."",""translation"":""座っている他の人に啓示が与えられたら、先に語りだしていた者は黙りなさい。"",""collection"":""アイヌ語訳新約聖書"",""document"":""14"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""}]"
5	erampetek	188	9	9	1	"[""erampetek"",""erámpetek"",""érampetek""]"	"[""AA研アイヌ語資料"",""アイヌタイムズ"",""アイヌ語・アイヌ文化研究の課題"",""アイヌ語アーカイブ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語ラジオ講座テキスト"",""アイヌ語教材テキスト"",""アイヌ語鵡川方言日本語‐アイヌ語辞典"",""千葉大学大学院人文公共学府研究プロジェクト報告書""]"	"[""幌別"",""旭川"",""様似"",""白老"",""石狩"",""石狩川"",""釧路"",""静内"",""鵡川""]"	"[""北海道/北東/様似"",""北海道/北東/石狩"",""北海道/北東/釧路"",""北海道/北東/静内"",""北海道/南西/幌別"",""北海道/南西/白老"",""北海道/南西/鵡川""]"	"[""北海道""]"	"[{""value"":""erampetek"",""count"":188}]"	"[{""value"":""VERB"",""count"":177}]"	unreviewed				"[{""sentence_id"":""aa-irc/017#94"",""text"":""a=wen-saha enon oman a ruwe ne ya ka a=erampetek."",""translation"":""悪い姉さんがどこへ行ったのか分からなかった。"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 織田ステノさん口演・阪口諒聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 Moyuk（前半）"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=17"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""ainu-times/038/1#2"",""text"":""kuani anakne Kagawa or ta síko wa Okayama or ta sikup wa an pe ku=ne ine, aynu ari an=ye utar anakne ku=nu amkir a korkay pirkano ku=erampetek."",""translation"":""私は香川に生まれて岡山で育っていた者で、アイヌと言われる人たちは聞いたことがありましたがよくわかりません。"",""collection"":""アイヌタイムズ"",""document"":""Kayano Shigeru nispa an=oskur"",""dialect"":""様似"",""dialect_path"":""北海道/北東/様似"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""chiba-325/25#102"",""text"":""sino nupetne=an wa e=kattuymano e=erampetek kuni ne an=an."",""translation"":""本当に私は嬉しく思って、あなたから遠く離れ、あなたが気付かないようにしていました。"",""collection"":""千葉大学大学院人文公共学府研究プロジェクト報告書"",""document"":""金成マツ筆録ノートの口承文学テクストの原文対訳及び解釈 : 散文説話「六人の山子（iwan yamanko）」"",""dialect"":""幌別"",""dialect_path"":""北海道/南西/幌別"",""region"":""北海道"",""uri"":""https://opac.ll.chiba-u.jp/da/curator/104915/S18817165-325-P025-FUJ.pdf"",""source_slug"":""chiba-grad-report""}]"
6	eramuskare	187	11	12	1	"[""eramuskare""]"	"[""AA研アイヌ語資料"",""アイヌタイムズ"",""アイヌ語アーカイブ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語ラジオ講座テキスト"",""アイヌ語教材テキスト"",""アイヌ語訳新約聖書"",""アコㇿイタㇰ"",""北海道民族学"",""北海道立アイヌ民族文化研究センター紀要"",""千葉大学ユーラシア言語文化論集""]"	"[""北東"",""北海道"",""十勝"",""十勝・本別"",""十勝（本別）"",""浦河"",""白糠"",""石狩"",""石狩川"",""美幌"",""釧路"",""静内""]"	"[""北海道"",""北海道/北東"",""北海道/北東/十勝"",""北海道/北東/浦河"",""北海道/北東/白糠"",""北海道/北東/石狩"",""北海道/北東/美幌"",""北海道/北東/釧路"",""北海道/北東/静内""]"	"[""北海道""]"	"[{""value"":""eramuskare"",""count"":187}]"	"[{""value"":""VERB"",""count"":47}]"	unreviewed				"[{""sentence_id"":""aa-irc/017#293"",""text"":""‘ney[138] ta ka, nukar, an=nukar eramuskare menoko,"",""translation"":""『どこかに見たことのない女性を"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 織田ステノさん口演・阪口諒聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 Moyuk（前半）"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=17"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""ainu-times/029/4#12"",""text"":""upopo nu eramuskare utar usa, upopo eramasu utar usa, nen ene ne yakkay, néanpe nu cikanakne renkahinne upopo wa rimse rusuy kuni ku=ramu."",""translation"":""ウポポを聴いたことのない人たちも、ウポポが好きな人たちも、誰でも、これを聴けば勝手にウポポ (唄う) してリムセ (踊る) したくなると私は思います。"",""collection"":""アイヌタイムズ"",""document"":""CD \""upopo sanke\"""",""dialect"":""十勝・本別"",""dialect_path"":""北海道/北東/十勝"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""akor-itak/009#8"",""text"":""A: ku=irwaki sitakkaneko unukar ka eramuskare p ne ap rammaka e=omanan siri enta an a?"",""translation"":""A: 兄弟よ、長い間会わなかったけれど何事もなくてやってきたのかい。"",""collection"":""アコㇿイタㇰ"",""document"":""第9章"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""urn:isbn:9784905756217"",""source_slug"":""akor-itak""}]"
7	epokpa	187	3	3	1	"[""epokpa""]"	"[""アイヌ神謡集"",""アイヌ語訳新約聖書"",""平取町アイヌ口承文芸""]"	"[""北海道"",""幌別"",""沙流""]"	"[""北海道"",""北海道/南西/幌別"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""epokpa"",""count"":187}]"	"[{""value"":""VERB"",""count"":44}]"	unreviewed				"[{""sentence_id"":""bible/1co/015#9"",""text"":""Inanpe kusu ne yakun, kuani anakne Apostoro un utar iyotta ponpe ne. Apostoro ani a en=ye kuni ka eykohaye kur ku ne ruwe ne, Kamuy kor karisia epokpa nisa ruwe ne kusu ne na."",""translation"":""わたしは、神の教会を迫害したのですから、使徒たちの中でもいちばん小さな者であり、使徒と呼ばれる値打ちのない者です。"",""collection"":""アイヌ語訳新約聖書"",""document"":""15"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""biratori/019/005#229"",""text"":""“hunna irwaki nispa ne kor epokpa p ne hine"",""translation"":""「誰が、兄弟が長者で憎むものがあろうか。"",""collection"":""平取町アイヌ口承文芸"",""document"":""ウエペケㇾ「ユペッ　イㇼワㇰ　ウコイキ」湧別の兄弟げんか"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?matCd=N019P&typeAudio=on"",""source_slug"":""biratori-ainu-oral-literature""},{""sentence_id"":""yukie-kamuyyukar/013/0#35"",""text"":""Samayunkur kor turesi ci=epokpa kusu"",""translation"":""サマユンクルの妹はにくらしいので私は"",""collection"":""アイヌ神謡集"",""document"":""1"",""dialect"":""幌別"",""dialect_path"":""北海道/南西/幌別"",""region"":""北海道"",""uri"":""urn:isbn:9784883231331"",""source_slug"":""ainu-shinyoshu""}]"
8	kampisos	185	10	9	1	"[""kampisos""]"	"[""アイヌタイムズ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語ラジオ講座テキスト"",""アイヌ語弁論大会"",""アイヌ語教材テキスト"",""アイヌ語訳新約聖書"",""ウポポイ職員インタビュー"",""トピック別 アイヌ語会話辞典"",""ニューエクスプレスプラス アイヌ語"",""北海道大学所在地の先住民族に対する敬意の表明""]"	"[""北海道"",""旭川方言"",""様似"",""沙流"",""沙流・千歳"",""沙流方言"",""石狩"",""釧路"",""阿寒""]"	"[""北海道"",""北海道/北東/様似"",""北海道/北東/石狩"",""北海道/北東/釧路"",""北海道/南西/千歳"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""kampisos"",""count"":185}]"	"[{""value"":""VERB"",""count"":36},{""value"":""NOUN"",""count"":3},{""value"":""ADP"",""count"":1},{""value"":""ADV"",""count"":1}]"	unreviewed				"[{""sentence_id"":""ainu-times/004/2#4"",""text"":""tane “Gurume Bumu” sekor a=ye p an korka, aynu ipe Terebi or ta ka Zassi kampisos or ta ka naa un=nukare hi ku=ki rusuy."",""translation"":""現在「グルメブーム」というものがありますが、 アイヌ料理をテレビでも雑誌でも、もっと紹介してほしいと思います。"",""collection"":""アイヌタイムズ"",""document"":""kesto Réracise or un k=arpa rusuy wa"",""dialect"":""沙流・千歳"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""bible/act/017#2"",""text"":""orowa, Pawros anakne ramma an puri koraci, ne utar orun ahun, ayke, re sini toho pakno Kamuy kampisos kor wa turano ewkoyupetere,"",""translation"":""パウロはいつものように、ユダヤ人の集まっているところへ入って行き、三回の安息日にわたって聖書を引用して論じ合い、"",""collection"":""アイヌ語訳新約聖書"",""document"":""17"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""express-new/16#3"",""text"":""kampisos ci=nukar rusuy."",""translation"":""私たちは本が読みたいの。"",""collection"":""ニューエクスプレスプラス アイヌ語"",""document"":""練習問題5"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""urn:isbn:9784560086391"",""source_slug"":""new-express-plus-ainu""}]"
9	eci	179	2	1	1	"[""eci""]"	"[""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語訳新約聖書""]"	"[""北海道""]"	"[""北海道""]"	"[""北海道""]"	"[{""value"":""eci"",""count"":179}]"	"[{""value"":""PART"",""count"":179}]"	unreviewed				"[{""sentence_id"":""bible/1co/001#13"",""text"":""Kiristo anakne auwekopire an ruwe he an? Eci utar kusu Pawros anakne utasa cikuni or ta a=kunki kokikkik nisa ruwe he an? Suy, Pawros kor rehe or ta paptisma eci=kore an a?"",""translation"":""キリストは幾つにも分けられてしまったのですか。パウロがあなたがたのために十字架につけられたのですか。あなたがたはパウロの名によって洗礼を受けたのですか。"",""collection"":""アイヌ語訳新約聖書"",""document"":""1"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""x-social/aynu_sumari#24"",""text"":""Eci-iwanke ya?"",""translation"":null,""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""AynuSumari (@aynu_sumari)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/aynu_sumari/status/905747509972275200"",""source_slug"":null}]"
10	koypisi	174	2	2	1	"[""koypisi""]"	"[""アイヌ語訳新約聖書"",""北海道立アイヌ民族文化研究センター紀要""]"	"[""北海道"",""虻田""]"	"[""北海道"",""北海道/南西/虻田""]"	"[""北海道""]"	"[{""value"":""koypisi"",""count"":174}]"	"[{""value"":""NOUN"",""count"":22},{""value"":""VERB"",""count"":20}]"	unreviewed				"[{""sentence_id"":""bible/1co/002#14"",""text"":""Renkayne an aynu anakne Kamuy Ramat kusu an okaype somo uk ruwe ne: sinuma kusu ne okaype ramusakpe ne ruwe ne kusu ne na; suy, sinuma ne anpe eraman eaykap, ramat ani koypisi kuni kusu an okaype ne ruwe ne kusu ne na."",""translation"":""自然の人は神の霊に属する事柄を受け入れません。その人にとって、それは愚かなことであり、理解できないのです。霊によって初めて判断できるからです。"",""collection"":""アイヌ語訳新約聖書"",""document"":""2"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.bible.com/versions/1944"",""source_slug"":""ainu-new-testament""},{""sentence_id"":""center/016/0#598"",""text"":""a=koypisi"",""translation"":""私が尋ねた"",""collection"":""北海道立アイヌ民族文化研究センター紀要"",""document"":""アイヌ語虻田方言の英雄叙事詩（yukar）テキストとその言語的特徴（2）"",""dialect"":""虻田"",""dialect_path"":""北海道/南西/虻田"",""region"":""北海道"",""uri"":""https://ainu-center.hm.pref.hokkaido.lg.jp/kankou/kiyou/pdf/kiyou16_01.pdf"",""source_slug"":""hokkaido-ainu-culture-center-bulletin""}]"
